Date,HomeTeam,AwayTeam,FTHG,FTAG
3/4/2019,Man City,Cardiff,2,0
3/4/2019,Tottenham,Crystal Palace,2,0
5/4/2019,Southampton,Liverpool,1,3
6/4/2019,Bournemouth,Burnley,1,3
6/4/2019,Huddersfield,Leicester,1,4
6/4/2019,Newcastle,Crystal Palace,0,1
7/4/2019,Everton,Arsenal,1,0
8/4/2019,Chelsea,West Ham,2,0
12/4/2019,Leicester,Newcastle,0,1
13/04/2019,Brighton,Bournemouth,0,5
13/04/2019,Burnley,Cardiff,2,0
13/04/2019,Fulham,Everton,2,0
13/04/2019,Man United,West Ham,2,1
13/04/2019,Southampton,Wolves,3,1
13/04/2019,Tottenham,Huddersfield,4,0
14/04/2019,Crystal Palace,Man City,1,3
14/04/2019,Liverpool,Chelsea,2,0
15/04/2019,Watford,Arsenal,0,1
16/04/2019,Brighton,Cardiff,0,2
20/04/2019,Bournemouth,Fulham,0,1
20/04/2019,Huddersfield,Watford,1,2
20/04/2019,Man City,Tottenham,1,0
20/04/2019,Newcastle,Southampton,3,1
20/04/2019,West Ham,Leicester,2,2
20/04/2019,Wolves,Brighton,0,0
21/04/2019,Arsenal,Crystal Palace,2,3
21/04/2019,Cardiff,Liverpool,0,2
21/04/2019,Everton,Man United,4,0
22/04/2019,Chelsea,Burnley,2,2
23/04/2019,Tottenham,Brighton,1,0
23/04/2019,Watford,Southampton,1,1
24/04/2019,Man United,Man City,0,2
24/04/2019,Wolves,Arsenal,3,1
26/04/2019,Liverpool,Huddersfield,5,0
27/04/2019,Brighton,Newcastle,1,1
27/04/2019,Crystal Palace,Everton,0,0
27/04/2019,Fulham,Cardiff,1,0
27/04/2019,Southampton,Bournemouth,3,3
27/04/2019,Tottenham,West Ham,0,1
27/04/2019,Watford,Wolves,1,2
28/04/2019,Burnley,Man City,0,1
28/04/2019,Leicester,Arsenal,3,0
28/04/2019,Man United,Chelsea,1,1
3/5/2019,Everton,Burnley,2,0
4/5/2019,Bournemouth,Tottenham,1,0
4/5/2019,Cardiff,Crystal Palace,2,3
4/5/2019,Newcastle,Liverpool,2,3
4/5/2019,West Ham,Southampton,3,0
4/5/2019,Wolves,Fulham,1,0
5/5/2019,Arsenal,Brighton,1,1
5/5/2019,Chelsea,Watford,3,0
5/5/2019,Huddersfield,Man United,1,1
6/5/2019,Man City,Leicester,1,0
12/5/2019,Brighton,Man City,1,4
12/5/2019,Burnley,Arsenal,1,3
12/5/2019,Crystal Palace,Bournemouth,5,3
12/5/2019,Fulham,Newcastle,0,4
12/5/2019,Leicester,Chelsea,0,0
12/5/2019,Liverpool,Wolves,2,0
12/5/2019,Man United,Cardiff,0,2
12/5/2019,Southampton,Huddersfield,1,1
12/5/2019,Tottenham,Everton,2,2
12/5/2019,Watford,West Ham,1,4
